ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20160425,908.0966,908.0966,896.0575,902.937,907.2367,-4.29970000000003,-0.4739,349257.75,366533.3767
000001.SZ,20160426,901.2171,911.5364,899.4972,910.6765,902.937,7.739500000000021,0.8571,291699.38,306962.513
000001.SZ,20160427,909.8165,912.3963,904.6569,908.9566,910.6765,-1.7199000000000524,-0.1889,239553.93,253308.5841
000001.SZ,20160428,909.8165,925.2954,906.3768,916.696,908.9566,7.739400000000046,0.8515,457460.41,487261.2205
000001.SZ,20160429,914.9762,914.9762,907.2367,908.9566,916.696,-7.739400000000046,-0.8443,404977.67,428582.155
000001.SZ,20160503,909.8165,921.8557,904.6569,918.4159,908.9566,9.459299999999985,1.0407,489102.1,521137.5024
000001.SZ,20160504,918.4159,924.4355,916.696,921.8557,918.4159,3.439799999999991,0.3745,412435.59,441848.1677
000001.SZ,20160505,919.2759,921.8557,915.8361,921.8557,921.8557,0.0,0.0,239516.83,256002.0959
000001.SZ,20160506,922.7156,922.7156,904.6569,904.6569,921.8557,-17.198800000000006,-1.8657,346545.14,367408.5845
000001.SZ,20160509,902.937,905.5168,887.4581,890.0379,904.6569,-14.618999999999915,-1.616,411171.02,428356.6241
000001.SZ,20160510,889.178,891.7578,883.1584,884.0183,890.0379,-6.019600000000082,-0.6763,292599.78,301767.208
000001.SZ,20160511,885.7382,897.7774,885.7382,891.7578,884.0183,7.739500000000021,0.8755,327289.51,339005.2758
000001.SZ,20160512,886.5981,894.3376,881.4385,892.6177,891.7578,0.8599000000000387,0.0964,325885.5,336792.7006
000001.SZ,20160513,890.0379,894.3376,888.318,890.0379,892.6177,-2.5797999999999774,-0.289,184266.11,191007.2557
000001.SZ,20160516,887.4581,890.8978,881.4385,890.8978,890.0379,0.8598999999999251,0.0966,215224.68,221931.2081
000001.SZ,20160517,890.8978,891.7578,880.5786,885.7382,890.8978,-5.159599999999955,-0.5791,250424.22,257859.629
000001.SZ,20160518,884.8783,887.4581,874.559,885.7382,885.7382,0.0,0.0,534150.62,547076.6394
000001.SZ,20160519,883.1584,887.4581,881.4385,881.4385,885.7382,-4.29970000000003,-0.4854,170777.76,175591.5004
000001.SZ,20160520,880.5786,888.318,876.2789,885.7382,881.4385,4.29970000000003,0.4878,206703.77,212277.642
000001.SZ,20160523,888.318,889.178,881.4385,884.0183,885.7382,-1.7199000000000524,-0.1942,323646.76,333300.1785
000001.SZ,20160524,883.1584,884.0183,876.2789,877.9987,884.0183,-6.0195999999999685,-0.6809,259294.04,265042.2869
000001.SZ,20160525,881.4385,884.0183,876.2789,879.7186,877.9987,1.7199000000000524,0.1959,204235.4,209019.882
000001.SZ,20160526,878.8587,883.1584,874.559,878.8587,879.7186,-0.8599000000000387,-0.0977,261396.53,266736.7758
000001.SZ,20160527,878.8587,884.8783,876.2789,883.1584,878.8587,4.29970000000003,0.4892,222818.92,228377.555
000001.SZ,20160530,881.4385,884.0183,877.1388,884.0183,883.1584,0.8598999999999251,0.0974,380946.87,390119.7482
000001.SZ,20160531,882.2984,908.9566,882.2984,907.2367,884.0183,23.218400000000088,2.6265,946467.16,991668.1748
000001.SZ,20160601,903.7969,907.2367,897.7774,901.2171,907.2367,-6.019600000000082,-0.6635,556750.91,584161.1451
000001.SZ,20160602,900.3572,901.2171,896.0575,899.4972,901.2171,-1.7198999999999387,-0.1908,293036.22,306269.3834
000001.SZ,20160603,900.3572,904.6569,895.1975,902.937,899.4972,3.439799999999991,0.3824,423389.29,443039.581
000001.SZ,20160606,903.7969,905.5168,898.6373,903.7969,902.937,0.8599000000000387,0.0952,338332.01,354998.3641
000001.SZ,20160607,904.6569,905.5168,901.2171,904.6569,903.7969,0.8599999999999,0.0952,229282.15,240887.1487
000001.SZ,20160608,906.3768,906.3768,899.4972,902.937,904.6569,-1.7198999999999387,-0.1901,268188.24,281651.7409
000001.SZ,20160613,899.4972,900.3572,888.318,888.318,902.937,-14.619000000000028,-1.619,344816.83,358996.2775
000001.SZ,20160614,889.178,895.1975,887.4581,894.3376,888.318,6.0195999999999685,0.6776,273637.26,283578.2965
000001.SZ,20160615,888.318,901.2171,887.4581,897.7774,894.3376,3.439799999999991,0.3846,378172.41,394033.6861
000001.SZ,20160616,897.7761,900.9188,893.5857,897.7761,897.7761,0.0,0.0,386670.08,331192.4447
000001.SZ,20160617,897.7761,901.9664,894.6333,898.8236,897.7761,1.0475000000000136,0.1167,315173.0,270236.698
000001.SZ,20160620,899.8712,900.9188,896.7285,900.9188,898.8236,2.095199999999977,0.2331,270731.58,232205.2979
